"","id","type","source","year","simpname","lastname","firstname","middlename","nationality","edu","prof","org","loc","lon","lat","text"
"118","fr2583","alumni","frei",1869,"bogart, a  l","bogart","adrian levingston","levingston","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Bogart, Adrian Levingston. New York, V. St. v. A. "
"119","fr2584","alumni","frei",1869,"chapman, g  c","chapman","gerard cogan","cogan","united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Chapman, Gerard Cogan. London, England."
"120","fr2585","alumni","frei",1869,"conant, n","conant","n",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Conant, N. Whitney. Louisville, Kentucky."
"121","fr2586","alumni","frei",1869,"ertel, c  h","ertel","carl herrmann","herrmann","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Ertel, Carl Herrmann. Mittelsaida, Sachsen."
"122","fr2587","alumni","frei",1869,"fontaine, w  m","fontaine","william morris","morris","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Fontaine, William Morris. Hannover County, Virginia, V. St. v. A."
"123","fr2588","alumni","frei",1869,"garza y tapia,","garza y tapia","",NA,"spain","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Garza y Tapia, Cesar de la. Linares, Spanien."
"124","fr2589","alumni","frei",1869,"grillo, j","grillo","julius",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Grillo, Julius. Oberhausen, PreuBen."
"125","fr2590","alumni","frei",1869,"hacker, e  f","hacker","ehregott franz joseph","franz","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hacker, Ehregott Franz Joseph. Dresden, Sachsen."
"126","fr2591","alumni","frei",1869,"hutter, c","hutter","c",NA,"czech republic","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hutter, C. Wilhelm. Holleschau, Mahren."
"127","fr2592","alumni","frei",1869,"v kiel, a  h","v kiel","alexander herrmann","herrmann","latvia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Kiel, Alexander Herrmann. Riga, Livland."
"128","fr2593","alumni","frei",1869,"leupold, h","leupold","heinrich",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Leupold, Heinrich. Bremen."
"129","fr2594","alumni","frei",1869,"lyman, w","lyman","william",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Lyman, William. Pittsburg, V. St. v. A."
"130","fr2595","alumni","frei",1869,"madge, a","madge","arthur",NA,"united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Madge, Arthur. Swansea, England."
"131","fr2596","alumni","frei",1869,"martin, e","martin","elias",NA,"peru","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Martin, Elias. VistaBella, Peru."
"132","fr2597","alumni","frei",1869,"matheson, w","matheson","william",NA,"united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Matheson, William. New Schottland, Australien."
"133","fr2598","alumni","frei",1869,"meyer, a  r","meyer","august robert","robert","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Meyer, August Robert. St. Louis, V. St. v. A."
